Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Core product data, some values are optional for variants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mandatory, if the row is for a product variant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data required for integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO NOT LEAVE ANY ROW BLANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core product data -->,,,,,,,,,,,,,,,,,,<-- Core product data,Data for integrations -->,,<-- Data for integrations,Marketing product data -->,,,,,,,,,,,,,,,,,,<-- Marketing product data,Nutritional information data -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-- Nutritional information data,eGifting data (Intervino) -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-- eGifting data (Intervino),,
"Product Category
(Enter N/A if not applicable)","Copy type
(Enter Standard if not sure)","Content type
(Enter Product)",Status,"Identifier Type
(EAN/UPC)",Identifier Value,EAN Number,EAN Number of parent product,Product Name,Product Images (comma separated TAB IDs),Comma separated ALT Text for product images,Product Ingredients,Product Size,Short product title,Short product description,Product Tags,Alternative page title,DON'T POPULATE,Alternative product number,"Smart Product Id
(ID used for BIN)",Label Insight Id (used for Smartlabel integration),"Disable ""Buy it Now""
(Leave blank if not disabled)",shortIdentifierValue,Child products,"Product launch date
(dd/mm/yyyy)","Image Type
(Tall/Short)","Image Format (PNG,JPG, JPEG)","Product price
(without currency symbol)",Long page description,Short page description,aboutThisProductTitle,aboutThisProductBullets,aboutThisProductDescription,perfectForTitle,perfectForHeadingsAndDescription,howToUseTitle,howToUseDescription,tryThisTitle,tryThisDescription,ingredientsDisclaimer,allergy,Serving Size, Servings Per  Container, Calories Amount Per  Portion, Calories Percentage  Per  Portion, Calories Per100g, Calories Per100ml, Calories From Fat, Total Fat Amount Per Portion, Total Fat Percentage Per Portion, Total Fat Per100g, Total Fat Per100ml, Saturated Fat Amount Per Portion, Saturated Fat Percentage Per Portion, Saturated Fat Per100 g, Saturated Fat Per100ml, Trans Fat Amount, Trans Fat Percentage, Trans Fat Per100gm, Polyunsaturated Fat Amount, Polyunsaturated Fat Percentage, Polyunsaturated Fat Per100g, Monounsaturated Fat Amount, Monounsaturated Fat Percentage, Monounsaturated Fat Per100gm, Cholesterol Amount, Cholesterol Percentage, Cholesterol Per100gm, Salt Amount Per Portion, Salt Percentage Per Portion, Salt Per100gm, Saltper100ml, Potassium Amount, Potassium Percentage, Potassium Per100gm, Total Carbohydrate Amount Per Portion, Total Carbohydrate Percentage Per Portion, Total Carbohydrate Per100g, Total Carbohydrate Per100ml, Dietary Fiber Amount, Dietary Fiber Percentage, Dietary Fiber Per100gm, Sugars Amount Per Portion, Sugars Percentage Per Portion, Sugars Per100g, Sugars Per100ml, Protein Amount Per Portion, Protein Percentage Per Portion, Protein Per100gm, Proteinper100ml, Vitamin A Amount, Vitamin A Percentage, Vitamin A Per100gm, Vitamin C Amount, Vitamin C Percentage, Vitamin C Per100gm, Calcium Amount, Calcium Percentage, Calcium Per100gm, Iron Amount, Iron Percentage, Iron Per100gm, Vitamin D Amount, Vitamin D Percentage, Vitamin D Per100gm, Vitamin E Amount, Vitamin E Percentage, Vitamin E Per100gm, Vitamin K Amount, Vitamin K Percentage, Vitamin K Per100gm, Thiamin Amount, Thiamin Percentage, Thiamin Per100gm, Riboflavin Amount, Riboflavin Percentage, Riboflavin Per100gm, Niacin Amount, Niacin Percentage, Niacin Per100gm, Vitamin B6 Amount, Vitamin B6 Percentage, Vitamin B6 Per100gm, Folic Acid Amount, Folic Acid Percentage, Folic Acid Per100gm, Vitamin B12 Amount, Vitamin B12 Percentage, Vitamin B12 Per100gm, Biotin Amount, Biotin Percentage, Biotin Per100gm, Panothenic Acid Amount, Panothenic Acid Percentage, Panothenic Acid Per100gm, Phosphorus Amount, Phosphorus Percentage, Phosphorus Per100gm, Iodine Amount, Iodine Percentage, Iodine Per100gm, Magnesium Amount, Magnesium Percentage, Magnesium Per100gm, Zinc Amount, Zinc Percentage, Zinc Per100gm, Selenium Amount, Selenium Percentage, Selenium Per100gm, Copper Amount, Copper Percentage, Copper Per100gm, Manganese Amount, Manganese Percentage, Manganese Per100gm, Chromium Amount, Chromium Percentage, Chromium Per100gm, Molybdenum Amount, Molybdenum Percentage, Molybdenum Per100gm, Chloride Amount, Chloride Percentage, Chloride Per100gm, Omega3 Amount, Omega3 Percentage, Omega3 Per100gm, Omega6 Amount, Omega6 Percentage, Omega6 Per100gm,Dietary Fiber Per 100ml,Sodium Amount Per portion,Sodium percentage per portion,Sodium per 100 gm,Sodium per 100 ml, Footnote, Customize Description, Customize Gift Wrap Description , Customize Image Alt Text, Customize Image Id, Customize Product Price,wrapping Price,"#1 recipients Info
Character Count","#1 recipients Info
Type","#2 recipients Info
Character Count","#2 recipients Info
Type","#1 Wrapper Info
Id","#1 Wrapper Info
Image Alt Text","#1 Wrapper Info
Text","#1 Wrapper Info
Wrapper Image","#2 Wrapper Info
Id","#2 Wrapper Info
Image Alt Text","#2 Wrapper Info
Text","#2 Wrapper Info
Wrapper Image","#3 Wrapper Info
Id","#3 Wrapper Info
Image Alt Text","#3 Wrapper Info
Text","#3 Wrapper Info
Wrapper Image","#4 Wrapper Info
Id","#4 Wrapper Info
Image Alt Text","#4 Wrapper Info
Text","#4 Wrapper Info
Wrapper Image","#5 Wrapper Info
Id","#5 Wrapper Info
Image Alt Text","#5 Wrapper Info
Text","#5 Wrapper Info
Wrapper Image",,
category,copy type,content type,status,identifierType,identifierValue,EAN,EANparent,productName,productImage,altTextImages,ingredients,productSize,shortTitle,shortProductDescription,productTags,aemPageName,lastmodifiedtime,productID,smartProductID,labelInsightId,disableBuyItNow,shortIdentifierValue,ChildProducts,productLaunchDate,imageType,imageFormat,productPrice,longPageDescription,shortPageDescription,aboutThisProductTitle,aboutThisProductBullets,aboutThisProductDescription,perfectForTitle,perfectForHeadingsAndDescription,howToUseTitle,howToUseDescription,tryThisTitle,tryThisDescription,ingredientsDisclaimer,allergy,NutritionFacts.ServingSize,NutritionFacts.ServingsPerContainer,NutritionFacts.CaloriesAmountPerPortion,NutritionFacts.CaloriesPercentagePerPortion,NutritionFacts.CaloriesPer100g,NutritionFacts.CaloriesPer100ml,NutritionFacts.CaloriesFromFat,NutritionFacts.TotalFatAmountPerPortion,NutritionFacts.TotalFatPercentagePerPortion,NutritionFacts.TotalFatPer100g,NutritionFacts.TotalFatPer100ml,NutritionFacts.SaturatedFatAmountPerPortion,NutritionFacts.SaturatedFatPercentagePerPortion,NutritionFacts.SaturatedFatPer100 g,NutritionFacts.SaturatedFatPer100ml,NutritionFacts.TransFatAmount,NutritionFacts.TransFatPercentage,NutritionFacts.TransFatPer100gm,NutritionFacts.PolyunsaturatedFatAmount,NutritionFacts.PolyunsaturatedFatPercentage,NutritionFacts.PolyunsaturatedFatPer100g,NutritionFacts.MonounsaturatedFatAmount,NutritionFacts.MonounsaturatedFatPercentage,NutritionFacts.MonounsaturatedFatPer100gm,NutritionFacts.CholesterolAmount,NutritionFacts.CholesterolPercentage,NutritionFacts.CholesterolPer100gm,NutritionFacts.SaltAmountPerPortion,NutritionFacts.SaltPercentagePerPortion,NutritionFacts.SaltPer100gm,NutritionFacts.Saltper100ml,NutritionFacts.PotassiumAmount,NutritionFacts.PotassiumPercentage,NutritionFacts.PotassiumPer100gm,NutritionFacts.TotalCarbohydrateAmountPerPortion,NutritionFacts.TotalCarbohydratePercentagePerPortion,NutritionFacts.TotalCarbohydratePer100g,NutritionFacts.TotalCarbohydratePer100ml,NutritionFacts.DietaryFiberAmount,NutritionFacts.DietaryFiberPercentage,NutritionFacts.DietaryFiberPer100gm,NutritionFacts.SugarsAmountPerPortion,NutritionFacts.SugarsPercentagePerPortion,NutritionFacts.SugarsPer100g,NutritionFacts.SugarsPer100ml,NutritionFacts.ProteinAmountPerPortion,NutritionFacts.ProteinPercentagePerPortion,NutritionFacts.ProteinPer100gm,NutritionFacts.Proteinper100ml,NutritionFacts.VitaminAAmount,NutritionFacts.VitaminAPercentage,NutritionFacts.VitaminAPer100gm,NutritionFacts.VitaminCAmount,NutritionFacts.VitaminCPercentage,NutritionFacts.VitaminCPer100gm,NutritionFacts.CalciumAmount,NutritionFacts.CalciumPercentage,NutritionFacts.CalciumPer100gm,NutritionFacts.IronAmount,NutritionFacts.IronPercentage,NutritionFacts.IronPer100gm,NutritionFacts.VitaminDAmount,NutritionFacts.VitaminDPercentage,NutritionFacts.VitaminDPer100gm,NutritionFacts.VitaminEAmount,NutritionFacts.VitaminEPercentage,NutritionFacts.VitaminEPer100gm,NutritionFacts.VitaminKAmount,NutritionFacts.VitaminKPercentage,NutritionFacts.VitaminKPer100gm,NutritionFacts.ThiaminAmount,NutritionFacts.ThiaminPercentage,NutritionFacts.ThiaminPer100gm,NutritionFacts.RiboflavinAmount,NutritionFacts.RiboflavinPercentage,NutritionFacts.RiboflavinPer100gm,NutritionFacts.NiacinAmount,NutritionFacts.NiacinPercentage,NutritionFacts.NiacinPer100gm,NutritionFacts.VitaminB6Amount,NutritionFacts.VitaminB6Percentage,NutritionFacts.VitaminB6Per100gm,NutritionFacts.FolicAcidAmount,NutritionFacts.FolicAcidPercentage,NutritionFacts.FolicAcidPer100gm,NutritionFacts.VitaminB12Amount,NutritionFacts.VitaminB12Percentage,NutritionFacts.VitaminB12Per100gm,NutritionFacts.BiotinAmount,NutritionFacts.BiotinPercentage,NutritionFacts.BiotinPer100gm,NutritionFacts.PanothenicAcidAmount,NutritionFacts.PanothenicAcidPercentage,NutritionFacts.PanothenicAcidPer100gm,NutritionFacts.PhosphorusAmount,NutritionFacts.PhosphorusPercentage,NutritionFacts.PhosphorusPer100gm,NutritionFacts.IodineAmount,NutritionFacts.IodinePercentage,NutritionFacts.IodinePer100gm,NutritionFacts.MagnesiumAmount,NutritionFacts.MagnesiumPercentage,NutritionFacts.MagnesiumPer100gm,NutritionFacts.ZincAmount,NutritionFacts.ZincPercentage,NutritionFacts.ZincPer100gm,NutritionFacts.SeleniumAmount,NutritionFacts.SeleniumPercentage,NutritionFacts.SeleniumPer100gm,NutritionFacts.CopperAmount,NutritionFacts.CopperPercentage,NutritionFacts.CopperPer100gm,NutritionFacts.ManganeseAmount,NutritionFacts.ManganesePercentage,NutritionFacts.ManganesePer100gm,NutritionFacts.ChromiumAmount,NutritionFacts.ChromiumPercentage,NutritionFacts.ChromiumPer100gm,NutritionFacts.MolybdenumAmount,NutritionFacts.MolybdenumPercentage,NutritionFacts.MolybdenumPer100gm,NutritionFacts.ChlorideAmount,NutritionFacts.ChloridePercentage,NutritionFacts.ChloridePer100gm,NutritionFacts.Omega3Amount,NutritionFacts.Omega3Percentage,NutritionFacts.Omega3Per100gm,NutritionFacts.Omega6Amount,NutritionFacts.Omega6Percentage,NutritionFacts.Omega6Per100gm,NutritionFacts.DietaryFiberPer100ml,NutritionFacts.SodiumAmountPerportion,NutritionFacts.SodiumPercentagePerportion,NutritionFacts.SodiumPer100gm,NutritionFacts.SodiumPer100ml,NutritionFacts.Footnote,CustomizeDescription,CustomizeGiftWrapDescription ,CustomizeImageAltText,CustomizeImageId,CustomizeProductPrice,wrappingPrice,1#recipientsInfo.CharacterCount,1#recipientsInfo.Type,2#recipientsInfo.CharacterCount,2#recipientsInfo.Type,1#WrapperInfo.Id,1#WrapperInfo.ImageAltText,1#WrapperInfo.Text,1#WrapperInfo.WrapperImage,2#WrapperInfo.Id,2#WrapperInfo.ImageAltText,2#WrapperInfo.Text,2#WrapperInfo.WrapperImage,3#WrapperInfo.Id,3#WrapperInfo.ImageAltText,3#WrapperInfo.Text,3#WrapperInfo.WrapperImage,4#WrapperInfo.Id,4#WrapperInfo.ImageAltText,4#WrapperInfo.Text,4#WrapperInfo.WrapperImage,5#WrapperInfo.Id,5#WrapperInfo.ImageAltText,5#WrapperInfo.Text,5#WrapperInfo.WrapperImage,,
Shampoo,Standard,product,New,EAN,750630622503,750630622503,,SHAMPOO TRESemmé CRECIMIENTO MÁXIMO,"61680111#,61680892",",","AQUA, SODIUM C12-13 PARETH SULFATE, COCAMIDOPROPYL BETAINE, SODIUM CHLORIDE, GLYCERIN, DIMETHICONOL, PARFUM, SODIUM BENZOATE, CARBOMER, GLUCONOLACTONE, GLYCOL DISTEARATE, SODIUM LAURETH SULFATE, CITRIC ACID, TREHALOSE, SODIUM SULFATE, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, COCAMIDE MEA, DISODIUM EDTA, MICA, PEG-45M, TITANIUM DIOXIDE, BIOTIN, CAFFEINE, NIACINAMIDE, PANTHENOL, SODIUM HYDROXIDE, BENZYL SALICYLATE, LIMONENE",715 ml,SHAMPOO TRESemmé CRECIMIENTO MÁXIMO,"Cabello más fuerte y largo. Calidad de salón. Shampoo de fórmula profesional con Cafeína, Vitamina B & Forti-Fiber Techonology","unilever:tresemme/content/purpose/core,unilever:tresemme/content/process/created,unilever:tresemme/product/type/shampoo,unilever:tresemme/product/collection/crecimiento-maximo,unilever:tresemme/product/hair-care/oily-hair",,2021-12-21-21:51:16.839+0000,,d898f4636e2f428488aaef14eb3d301f,,,,,24/11/2021,,PNG,0.00,"Cabello envidiablemente largo, suave y con apariencia de salón. El shampoo TRESemmé Crecimiento Máximo fue enriquecido con Cafeína, Vitamina B y Forti-Fiber Techonology para ofrecer resultados de salón a tu alcance. El shampoo para un cabello largo y reducir el quiebre, está en TRESemmé. 
Fortalece las fibras débiles gracias a su fórmula de calidad profesional para alcanzar el máximo crecimiento natural del cabello, al reducir el significativamente el quebre.  Nuestros expertos recomiendan masajear suavemente el cuero cabelludo durante su aplicación para estimular la circulación sanguínea, y ayudar al crecimiento del cabello. 
Limpia y purifica la raíz de las fibras débiles.
Complementa tu rutina con el Acondicionador Crecimiento Máximo y Crema para Peinar +Largo para mejores resultados. 
TRESemmé no hace pruebas en animales. Aprobado por PETA","Profesionalmente desarrollado para promover un cabello más fuerte, para lograr su máximo crecimiento natural. ",,"Cabello envidiablemente largo, suave y con apariencia de salón","Con Forti-fiber Technology, cuida la fibra capilar, purificando y acondicionando para reducir el quiebre y lograr su crecimiento máximo. 
Con Vitamina B, refuerza la fibra capilar y conserva un cabello saludable. 
Con Cafeína, ingrediente conocido por su poder estimulante.
Sin parabenos ni colorantes.
Resultados profesionales.
Para mejores resultados, utiliza la línea completa TRESemmé Crecimiento Máximo. ",,"Cabello más fuerte y largo. Calidad de salón. Shampoo de fórmula profesional con Cafeína, Vitamina B & Forti-Fiber Techonology",,"1. Aplica el shampoo en el cabello húmedo
2. Masajea el cuero cabelludo por 1 minuto para estimular la circulación
3. Enjuague bien
4. Para un cabello más fuerte y largo, usa la línea completa de TRESemmé® Crecimiento Máximo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
